country,company,isin,symbol,combined
netherlands,ING Groep,NL0011821202,INGA,ING Groep | NL0011821202
netherlands,Heineken,NL0000009165,HEIN,Heineken | NL0000009165
netherlands,Aegon,NL0000303709,AEGN,Aegon | NL0000303709
netherlands,Philips,NL0000009538,PHG,Philips | NL0000009538
netherlands,Amsterdam Commodities,NL0000313286,ARBN,Amsterdam Commodities | NL0000313286
netherlands,Holland Colours,NL0000440311,HOLCO,Holland Colours | NL0000440311
netherlands,ASM,NL0000334118,ASMI,ASM | NL0000334118
netherlands,Randstad,NL0000379121,RAND,Randstad | NL0000379121
netherlands,Fugro,NL0000352565,FUGRc,Fugro | NL0000352565
netherlands,Corbion,NL0010583399,CORB,Corbion | NL0010583399
netherlands,Vastned Retail,NL0000288918,VASN,Vastned Retail | NL0000288918
netherlands,AMG,NL0000888691,AMG,AMG | NL0000888691
netherlands,Wolters Kluwer,NL0000395903,WLSNc,Wolters Kluwer | NL0000395903
netherlands,SBM Offshore,NL0000360618,SBMO,SBM Offshore | NL0000360618
netherlands,Ordina,NL0000440584,ORDN,Ordina | NL0000440584
netherlands,Akzo Nobel,NL0013267909,AKZO,Akzo Nobel | NL0013267909
netherlands,Vopak,NL0009432491,VOPA,Vopak | NL0009432491
netherlands,TomTom,NL0013332471,TOM2,TomTom | NL0013332471
netherlands,Koninklijke DSM,NL0000009827,DSMN,Koninklijke DSM | NL0000009827
netherlands,Koninklijke Wessanen,NL0000395317,BSWSc,Koninklijke Wessanen | NL0000395317
netherlands,Kardan NV,NL0000113652,KARD,Kardan NV | NL0000113652
netherlands,Ahold Delhaize,NL0011794037,AD,Ahold Delhaize | NL0011794037
netherlands,Binckbank,NL0000335578,BINCK,Binckbank | NL0000335578
netherlands,Koninklijke KPN,NL0000009082,KPN,Koninklijke KPN | NL0000009082
netherlands,BAM Groep,NL0000337319,BAMN,BAM Groep | NL0000337319
netherlands,ASML Holding,NL0010273215,ASML,ASML Holding | NL0010273215
netherlands,NSI,NL0012365084,NSTEc,NSI | NL0012365084
netherlands,Aalberts Industries,NL0000852564,AALB,Aalberts Industries | NL0000852564
netherlands,Wereldhave,NL0000289213,WEHA,Wereldhave | NL0000289213
netherlands,Arcadis,NL0006237562,ARDS,Arcadis | NL0006237562
netherlands,Brunel,NL0010776944,BRUN,Brunel | NL0010776944
netherlands,Boskalis Westminster,NL0000852580,BOSN,Boskalis Westminster | NL0000852580
netherlands,Heijmans,NL0009269109,HEIJ,Heijmans | NL0009269109
netherlands,Kendrion,NL0000852531,SVEL,Kendrion | NL0000852531
netherlands,Pharming Group,NL0010391025,PHAR,Pharming Group | NL0010391025
netherlands,Accell,NL0009767532,ACCG,Accell | NL0009767532
netherlands,Eurocommercial Properties,NL0000288876,SIPFc,Eurocommercial Properties | NL0000288876
netherlands,Lavide,NL0010545679,LVIDE,Lavide | NL0010545679
netherlands,CTAC,NL0000345577,CTAN,CTAC | NL0000345577
netherlands,Beter Bed,NL0000339703,BETR,Beter Bed | NL0000339703
netherlands,SnowWorld NV,NL0010627865,SNOW,SnowWorld NV | NL0010627865
netherlands,TKH Group,NL0000852523,TWKNc,TKH Group | NL0000852523
netherlands,KAS Bank,NL0000362648,KASNc,KAS Bank | NL0000362648
netherlands,BE Semiconductor,NL0012866412,BESI,BE Semiconductor | NL0012866412
netherlands,Nedap,NL0000371243,NEDP,Nedap | NL0000371243
netherlands,Ajax,NL0000018034,AJAX,Ajax | NL0000018034
netherlands,ICT Group,NL0000359537,ICTA,ICT Group | NL0000359537
netherlands,Brill,NL0000442523,BRIL,Brill | NL0000442523
netherlands,Oranjewoud NV,NL0000370419,ORANW,Oranjewoud NV | NL0000370419
netherlands,Van Lanschot,NL0000302636,VLAN,Van Lanschot | NL0000302636
netherlands,Roodmicrotec,NL0000440477,ROON,Roodmicrotec | NL0000440477
netherlands,DGB Group,NL0009169515,DGB,DGB Group | NL0009169515
netherlands,Neways Electronics,NL0000440618,NEWN,Neways Electronics | NL0000440618
netherlands,Ease2pay,NL0000345627,EAS2P,Ease2pay | NL0000345627
netherlands,Stern Groep,NL0000336303,ARTN,Stern Groep | NL0000336303
netherlands,DPA Group,NL0009197771,DPA,DPA Group | NL0009197771
netherlands,Inverko,NL0012194724,PHLX,Inverko | NL0012194724
netherlands,NedSense,NL0009312842,NEDSE,NedSense | NL0009312842
netherlands,PostNL,NL0009739416,PTNL,PostNL | NL0009739416
netherlands,Hydratec,NL0009391242,HYDRA,Hydratec | NL0009391242
netherlands,Iex Group,NL0010556726,IEX,Iex Group | NL0010556726
netherlands,AND,NL0000430106,ANDP,AND | NL0000430106
netherlands,Esperite,NL0009272137,ESPE,Esperite | NL0009272137
netherlands,New Sources Energy,NL0009822014,NSEN,New Sources Energy | NL0009822014
netherlands,Sligro Food,NL0000817179,SLIGR,Sligro Food | NL0000817179
netherlands,Arcona Property,NL0006311706,ARCPF,Arcona Property | NL0006311706
netherlands,Tie Holding,NL0010389508,TIEH,Tie Holding | NL0010389508
netherlands,Porceleyne Fles,NL0000378669,PRCF,Porceleyne Fles | NL0000378669
netherlands,Core Laboratories,NL0000200384,CLB,Core Laboratories | NL0000200384
netherlands,Novisource,NL0010696704,NOVI,Novisource | NL0010696704
netherlands,Bever Holding NV,NL0000285278,BEVA,Bever Holding NV | NL0000285278
netherlands,Value8,NL0010661864,VALU8,Value8 | NL0010661864
netherlands,Heineken,NL0000008977,HEIO,Heineken | NL0000008977
netherlands,OCI NV,NL0010558797,OCI,OCI NV | NL0010558797
netherlands,NN Group NV,NL0010773842,NN,NN Group NV | NL0010773842
netherlands,IMCD NV,NL0010801007,IMCD,IMCD NV | NL0010801007
netherlands,Theta Legends,NL0009692839,THXLE,Theta Legends | NL0009692839
netherlands,Lucas Bols,NL0010998878,BOLS,Lucas Bols | NL0010998878
netherlands,Grandvision BV,NL0010937066,GVNV,Grandvision BV | NL0010937066
netherlands,Flow Traders NV,NL0011279492,FLOW,Flow Traders NV | NL0011279492
netherlands,Kiadis Pharma,NL0011323407,KDS,Kiadis Pharma | NL0011323407
netherlands,Altice,NL0011333752,ATCA,Altice | NL0011333752
netherlands,Intertrust Group Holding SA,NL0010937058,INTER,Intertrust Group Holding SA | NL0010937058
netherlands,ABN AMRO,NL0011540547,ABNd,ABN AMRO | NL0011540547
netherlands,Curetis NV,NL0011509294,CURE,Curetis NV | NL0011509294
netherlands,Altice NV B,NL0011333760,ATCB,Altice NV B | NL0011333760
netherlands,Sif Holding NV,NL0011660485,SIFG,Sif Holding NV | NL0011660485
netherlands,Signify,NL0011821392,LIGHT,Signify | NL0011821392
netherlands,ForFarmers,NL0011832811,FFARM,ForFarmers | NL0011832811
netherlands,ASR Nederland,NL0011872643,ASRNL,ASR Nederland | NL0011872643
netherlands,Basic Fit,NL0011872650,BFIT,Basic Fit | NL0011872650
netherlands,Envipco,NL0009901610,ENVI,Envipco | NL0009901610
netherlands,Robeco Global Stars,NL0000289783,RBEN,Robeco Global Stars | NL0000289783
netherlands,Rolinco,NL0000289817,RLIN,Rolinco | NL0000289817
netherlands,Unilever NV,NL0000388619,UNA,Unilever NV | NL0000388619
netherlands,Takeaway Com,NL0012015705,TKWY,Takeaway Com | NL0012015705
netherlands,Avantium,NL0012047823,AVTX,Avantium | NL0012047823
netherlands,Koninklijke Volker Wessels Stevin,NL0012294466,KVW,Koninklijke Volker Wessels Stevin | NL0012294466
netherlands,Value8 Pref,NL0009875483,PREVA_p,Value8 Pref | NL0009875483
netherlands,Dutch Star Companies ONE NV,NL0012747059,DSC1,Dutch Star Companies ONE NV | NL0012747059
netherlands,Alfen Beheer,NL0012817175,ALFEN,Alfen Beheer | NL0012817175
netherlands,NIBC Holding,NL0012756316,NIBC,NIBC Holding | NL0012756316
netherlands,Adyen,NL0012969182,ADYEN,Adyen | NL0012969182
netherlands,Fastned BV,NL0013654809,FASTN,Fastned BV | NL0013654809
netherlands,Prosus,NL0013654783,PRX,Prosus | NL0013654783
netherlands,Cm,NL0013746431,CMCOM,Cm | NL0013746431
germany,BASF,DE000BASF111,BASFn,BASF | DE000BASF111
germany,Bayer,DE000BAY0017,BAYGn,Bayer | DE000BAY0017
germany,Allianz,DE0008404005,ALVG,Allianz | DE0008404005
germany,Adidas,DE000A1EWWW0,ADSGn,Adidas | DE000A1EWWW0
germany,Lufthansa,DE0008232125,LHAG,Lufthansa | DE0008232125
germany,Volkswagen ST,DE0007664005,VOWG,Volkswagen ST | DE0007664005
germany,Deutsche Bank AG,DE0005140008,DBKGn,Deutsche Bank AG | DE0005140008
germany,Continental AG,DE0005439004,CONG,Continental AG | DE0005439004
germany,Deutsche Post,DE0005552004,DPWGn,Deutsche Post | DE0005552004
germany,Daimler,DE0007100000,DAIGn,Daimler | DE0007100000
germany,Porsche,DE000PAH0038,PSHG_p,Porsche | DE000PAH0038
germany,Henkel VZO,DE0006048432,HNKG_p,Henkel VZO | DE0006048432
germany,Deutsche Boerse,DE0005810055,DB1Gn,Deutsche Boerse | DE0005810055
germany,BMW ST,DE0005190003,BMWG,BMW ST | DE0005190003
germany,Fresenius ST,DE0005785802,FMEG,Fresenius ST | DE0005785802
germany,Deutsche Telekom AG,DE0005557508,DTEGn,Deutsche Telekom AG | DE0005557508
germany,Man SE,DE0005937007,MANG,Man SE | DE0005937007
germany,Merck,DE0006599905,MRCG,Merck | DE0006599905
germany,Infineon,DE0006231004,IFXGn,Infineon | DE0006231004
germany,Ceconomy,DE0007257503,CECG,Ceconomy | DE0007257503
germany,Muench. Rueckvers.,DE0008430026,MUVGn,Muench. Rueckvers. | DE0008430026
germany,SAP,DE0007164600,SAPG,SAP | DE0007164600
germany,Thyssenkrupp AG,DE0007500001,TKAG,Thyssenkrupp AG | DE0007500001
germany,Rheinmetall AG,DE0007030009,RHMG,Rheinmetall AG | DE0007030009
germany,Tui,DE000TUAG000,TUIGn,Tui | DE000TUAG000
germany,Wirecard AG,DE0007472060,WDIG,Wirecard AG | DE0007472060
germany,Lanxess AG,DE0005470405,LXSG,Lanxess AG | DE0005470405
germany,Beiersdorf AG,DE0005200000,BEIG,Beiersdorf AG | DE0005200000
germany,Fresenius SE,DE0005785604,FREG,Fresenius SE | DE0005785604
germany,Salzgitter AG,DE0006202005,SZGG,Salzgitter AG | DE0006202005
germany,Fraport AG,DE0005773303,FRAG,Fraport AG | DE0005773303
germany,Wacker Chemie,DE000WCH8881,WCHG,Wacker Chemie | DE000WCH8881
germany,QSC AG,DE0005137004,QSCG,QSC AG | DE0005137004
germany,Elringklinger AG,DE0007856023,ZILGn,Elringklinger AG | DE0007856023
germany,Vossloh AG,DE0007667107,VOSG,Vossloh AG | DE0007667107
germany,Krones AG,DE0006335003,KRNG,Krones AG | DE0006335003
germany,GEA Group AG,DE0006602006,G1AG,GEA Group AG | DE0006602006
germany,Hannover Rueckversicherung SE,DE0008402215,HNRGn,Hannover Rueckversicherung SE | DE0008402215
germany,Bilfinger SE,DE0005909006,GBFG,Bilfinger SE | DE0005909006
germany,Draegerwerk VZO,DE0005550636,DRWG_p,Draegerwerk VZO | DE0005550636
germany,Software AG,DE000A2GS401,SOWGn,Software AG | DE000A2GS401
germany,Kloeckner SE,DE000KC01000,KCOGn,Kloeckner SE | DE000KC01000
germany,Hochtief AG,DE0006070006,HOTG,Hochtief AG | DE0006070006
germany,RWE AG ST,DE0007037129,RWEG,RWE AG ST | DE0007037129
germany,Nordex SE,DE000A0D6554,NDXG,Nordex SE | DE000A0D6554
germany,Aurubis AG,DE0006766504,NAFG,Aurubis AG | DE0006766504
germany,Rhoen-Klinikum,DE0007042301,RHKG,Rhoen-Klinikum | DE0007042301
germany,DMG Mori Seiki,DE0005878003,GILG,DMG Mori Seiki | DE0005878003
germany,SGL Carbon SE,DE0007235301,SGCG,SGL Carbon SE | DE0007235301
germany,K+S AG,DE000KSAG888,SDFGn,K+S AG | DE000KSAG888
germany,Suedzucker,DE0007297004,SZUG,Suedzucker | DE0007297004
germany,Heidelberger Druckmaschinen,DE0007314007,HDDG,Heidelberger Druckmaschinen | DE0007314007
germany,Aareal Bank AG,DE0005408116,ARLG,Aareal Bank AG | DE0005408116
germany,Bauer AG,DE0005168108,B5AG,Bauer AG | DE0005168108
germany,Deutz AG,DE0006305006,DEZG,Deutz AG | DE0006305006
germany,Symrise AG,DE000SYM9999,SY1G,Symrise AG | DE000SYM9999
germany,United Internet AG,DE0005089031,UTDI,United Internet AG | DE0005089031
germany,Leoni AG,DE0005408884,LEOGn,Leoni AG | DE0005408884
germany,Gigaset AG,DE0005156004,GGS,Gigaset AG | DE0005156004
germany,Medion AG,DE0006605009,MDNG,Medion AG | DE0006605009
germany,Hugo Boss AG,DE000A1PHFF7,BOSSn,Hugo Boss AG | DE000A1PHFF7
germany,Siemens AG,DE0007236101,SIEGn,Siemens AG | DE0007236101
germany,E.ON SE,DE000ENAG999,EONGn,E.ON SE | DE000ENAG999
germany,Gerry Weber,DE0003304101,GWIG,Gerry Weber | DE0003304101
germany,Grammer AG,DE0005895403,GMMG,Grammer AG | DE0005895403
germany,Drillisch AG,DE0005545503,DRIG,Drillisch AG | DE0005545503
germany,Brenntag AG,DE000A1DAHH0,BNRGn,Brenntag AG | DE000A1DAHH0
germany,Fuchs Petrolub AG VZO Pref,DE0005790430,FPEG_p,Fuchs Petrolub AG VZO Pref | DE0005790430
germany,Suess Microtec,DE000A1K0235,SMHNn,Suess Microtec | DE000A1K0235
germany,H&R,DE000A2E4T77,2HR,H&R | DE000A2E4T77
germany,Alstria,DE000A0LD2U1,AOXG,Alstria | DE000A0LD2U1
germany,Amadeus Fire AG,DE0005093108,AMDG,Amadeus Fire AG | DE0005093108
germany,Biotest AG VZ,DE0005227235,BIOG_p,Biotest AG VZ | DE0005227235
germany,Comdirect AG,DE0005428007,CDBG,Comdirect AG | DE0005428007
germany,Centrotec,DE0005407506,CEVG,Centrotec | DE0005407506
germany,Cewe Color,DE0005403901,CWCG,Cewe Color | DE0005403901
germany,DIC Asset AG,DE000A1X3XX4,DICn,DIC Asset AG | DE000A1X3XX4
germany,Deutsche Beteiligungs AG,DE000A1TNUT7,DBANn,Deutsche Beteiligungs AG | DE000A1TNUT7
germany,Constantin Medien AG,DE0009147207,EV4G,Constantin Medien AG | DE0009147207
germany,CTS Eventim AG,DE0005470306,EVDG,CTS Eventim AG | DE0005470306
germany,Grenke,DE000A161N30,GLJn,Grenke | DE000A161N30
germany,Gesco AG,DE000A1K0201,GSC1n,Gesco AG | DE000A1K0201
germany,Hamborner AG,DE0006013006,HABG,Hamborner AG | DE0006013006
germany,Hawesko AG,DE0006042708,HAWG,Hawesko AG | DE0006042708
germany,Hornbach,DE0006083405,HBH,Hornbach | DE0006083405
germany,Indus AG,DE0006200108,INHG,Indus AG | DE0006200108
germany,Jungheinrich AG,DE0006219934,JUNG_p,Jungheinrich AG | DE0006219934
germany,KWS SAAT AG,DE0007074007,KWSG,KWS SAAT AG | DE0007074007
germany,Norma AG,DE000A1H8BV3,NOEJ,Norma AG | DE000A1H8BV3
germany,Patrizia Immobilien,DE000PAT1AG3,PATGn,Patrizia Immobilien | DE000PAT1AG3
germany,Stroeer,DE0007493991,SAXG,Stroeer | DE0007493991
germany,Schuler AG,DE000A0V9A22,SCUGe,Schuler AG | DE000A0V9A22
germany,Sixt AG ST,DE0007231326,SIXG,Sixt AG ST | DE0007231326
germany,Koenig&Bauer AG,DE0007193500,SKBG,Koenig&Bauer AG | DE0007193500
germany,Schaltbau,DE000A2NBTL2,SLTG,Schaltbau | DE000A2NBTL2
germany,Tag Immobilien,DE0008303504,TEGG,Tag Immobilien | DE0008303504
germany,ZEAL Network SE,DE000ZEAL241,TIMAn,ZEAL Network SE | DE000ZEAL241
germany,Takkt AG,DE0007446007,TTKG,Takkt AG | DE0007446007
germany,Wacker Neuson,DE000WACK012,WACGn,Wacker Neuson | DE000WACK012
germany,Zooplus AG,DE0005111702,ZO1G,Zooplus AG | DE0005111702
germany,Evotec AG,DE0005664809,EVTG,Evotec AG | DE0005664809
germany,New Work,DE000NWRK013,NWOn,New Work | DE000NWRK013
germany,PSI AG,DE000A0Z1JH9,PSAGn,PSI AG | DE000A0Z1JH9
germany,GSW Immobilien AG,DE000GSW1111,GIBG,GSW Immobilien AG | DE000GSW1111
germany,Centrotherm,DE000A1TNMM9,CTNGk,Centrotherm | DE000A1TNMM9
germany,Homag AG,DE0005297204,HG1G,Homag AG | DE0005297204
germany,Manz AG,DE000A0JQ5U3,M5ZG,Manz AG | DE000A0JQ5U3
